2024/01/29 12:50:01.865023 [INFO] Log Publish not set, skipping...
2024/01/29 13:10:01.362921 [INFO] Log Publish not set, skipping...
2024/01/29 13:30:01.385780 [INFO] Log Publish not set, skipping...
2024/01/29 13:50:01.417985 [INFO] Log Publish not set, skipping...
2024/01/29 14:10:01.778688 [INFO] Log Publish not set, skipping...
2024/01/29 14:30:01.818381 [INFO] Log Publish not set, skipping...
2024/01/29 14:50:01.859623 [INFO] Log Publish not set, skipping...
2024/01/29 15:10:01.326416 [INFO] Log Publish not set, skipping...
2024/01/29 15:30:01.365235 [INFO] Log Publish not set, skipping...
2024/01/29 15:50:01.415878 [INFO] Log Publish not set, skipping...
2024/01/29 16:10:01.882218 [INFO] Log Publish not set, skipping...
2024/01/29 16:30:01.926294 [INFO] Log Publish not set, skipping...
2024/01/29 16:50:01.977237 [INFO] Log Publish not set, skipping...
2024/01/29 17:10:01.331377 [INFO] Log Publish not set, skipping...
2024/01/29 17:30:01.362342 [INFO] Log Publish not set, skipping...
2024/01/29 17:50:01.456245 [INFO] Log Publish not set, skipping...
