2024/01/29 19:30:01.151045 [INFO] Log Publish not set, skipping...
2024/02/04 12:10:01.752693 [INFO] Log Publish not set, skipping...
2024/02/04 12:30:01.789786 [INFO] Log Publish not set, skipping...
2024/02/04 12:50:01.827436 [INFO] Log Publish not set, skipping...
2024/02/04 13:10:01.454223 [INFO] Log Publish not set, skipping...
2024/02/04 13:30:01.498720 [INFO] Log Publish not set, skipping...
2024/02/04 13:50:01.550286 [INFO] Log Publish not set, skipping...
2024/02/04 14:10:01.123509 [INFO] Log Publish not set, skipping...
2024/02/04 14:30:01.193188 [INFO] Log Publish not set, skipping...
2024/02/04 14:50:01.227441 [INFO] Log Publish not set, skipping...
2024/02/04 15:10:01.671149 [INFO] Log Publish not set, skipping...
2024/02/04 15:30:01.735736 [INFO] Log Publish not set, skipping...
2024/02/04 15:50:01.769283 [INFO] Log Publish not set, skipping...
2024/02/04 16:10:01.226292 [INFO] Log Publish not set, skipping...
2024/02/04 16:30:01.291460 [INFO] Log Publish not set, skipping...
2024/02/04 16:50:01.335594 [INFO] Log Publish not set, skipping...
2024/02/04 17:10:01.979594 [INFO] Log Publish not set, skipping...
2024/02/04 17:30:02.094572 [INFO] Log Publish not set, skipping...
2024/02/04 17:50:01.133684 [INFO] Log Publish not set, skipping...
2024/02/04 18:10:01.480019 [INFO] Log Publish not set, skipping...
